step 0, batch loss 1.868, 0.01 iters/s
step 2618, batch loss 1.996, 1.74 iters/s
step 2619, batch loss 2.386, 1.74 iters/s
step 2620, batch loss 2.101, 1.74 iters/s
step 2621, batch loss 2.2, 1.75 iters/s
step 2622, batch loss 1.871, 1.74 iters/s
step 2623, batch loss 2.178, 1.74 iters/s
step 2624, batch loss 2.304, 1.74 iters/s
step 2625, batch loss 2.119, 1.74 iters/s
step 2626, batch loss 1.887, 1.75 iters/s
step 2627, batch loss 1.804, 1.74 iters/s
step 2628, batch loss 2.053, 1.75 iters/s
step 2629, batch loss 1.989, 1.74 iters/s
step 2630, batch loss 2.153, 1.74 iters/s
step 2631, batch loss 2.112, 1.75 iters/s
step 2632, batch loss 2.591, 1.74 iters/s
step 2633, batch loss 1.964, 1.74 iters/s
step 2634, batch loss 2.174, 1.74 iters/s
step 2635, batch loss 2.196, 1.75 iters/s
step 2636, batch loss 2.146, 1.74 iters/s
step 2637, batch loss 1.713, 1.74 iters/s
step 2638, batch loss 2.349, 1.74 iters/s
step 2639, batch loss 1.86, 1.75 iters/s
step 2640, batch loss 2.46, 1.74 iters/s
step 2641, batch loss 1.815, 1.74 iters/s
step 2642, batch loss 1.974, 1.74 iters/s
step 2643, batch loss 2.532, 1.74 iters/s
step 2644, batch loss 2.342, 1.74 iters/s
step 2645, batch loss 1.943, 1.75 iters/s
step 2646, batch loss 1.925, 1.75 iters/s
step 2647, batch loss 2.193, 1.74 iters/s
step 2648, batch loss 2.27, 1.74 iters/s
step 2649, batch loss 2.386, 1.75 iters/s
step 2650, batch loss 2.121, 1.74 iters/s
step 2651, batch loss 2.362, 1.75 iters/s
step 2652, batch loss 1.69, 1.75 iters/s
step 2653, batch loss 2.051, 1.74 iters/s
step 2654, batch loss 1.895, 1.74 iters/s
step 2655, batch loss 1.231, 1.75 iters/s
step 2656, batch loss 2.045, 1.74 iters/s
step 2657, batch loss 1.872, 1.74 iters/s
step 2658, batch loss 2.613, 1.74 iters/s
step 2659, batch loss 1.693, 1.74 iters/s
step 2660, batch loss 1.71, 1.75 iters/s
step 2661, batch loss 2.056, 1.75 iters/s
step 2662, batch loss 1.89, 1.74 iters/s
step 2663, batch loss 1.523, 1.74 iters/s
step 2664, batch loss 3.549, 1.74 iters/s
step 2665, batch loss 1.963, 1.75 iters/s
step 2666, batch loss 1.847, 1.74 iters/s
step 2667, batch loss 2.142, 1.74 iters/s
step 2668, batch loss 2.144, 1.75 iters/s
step 2669, batch loss 1.829, 1.75 iters/s
step 2670, batch loss 2.03, 1.75 iters/s
step 2671, batch loss 2.244, 1.73 iters/s
step 2672, batch loss 2.239, 1.74 iters/s
step 2673, batch loss 2.094, 1.74 iters/s
step 2674, batch loss 2.012, 1.74 iters/s
step 2675, batch loss 2.391, 1.74 iters/s
step 2676, batch loss 1.759, 1.74 iters/s
step 2677, batch loss 1.788, 1.74 iters/s
step 2678, batch loss 2.22, 1.74 iters/s
step 2679, batch loss 2.28, 1.74 iters/s
step 2680, batch loss 1.848, 1.74 iters/s
step 2681, batch loss 1.986, 1.75 iters/s
step 2682, batch loss 2.532, 1.74 iters/s
step 2683, batch loss 2.045, 1.74 iters/s
step 2684, batch loss 1.938, 1.74 iters/s
step 2685, batch loss 2.051, 1.75 iters/s
step 2686, batch loss 2.288, 1.74 iters/s
step 2687, batch loss 1.843, 1.75 iters/s
step 2688, batch loss 1.903, 1.75 iters/s
step 2689, batch loss 2.036, 1.74 iters/s
step 2690, batch loss 2.208, 1.74 iters/s
step 2691, batch loss 2.12, 1.74 iters/s
step 2692, batch loss 1.958, 1.74 iters/s
step 2693, batch loss 2.394, 1.75 iters/s
step 2694, batch loss 1.838, 1.74 iters/s
step 2695, batch loss 2.018, 1.74 iters/s
step 2696, batch loss 2.347, 1.74 iters/s
step 2697, batch loss 2.104, 1.74 iters/s
step 2698, batch loss 3.138, 1.74 iters/s
step 2699, batch loss 1.77, 1.75 iters/s
step 2700, batch loss 2.323, 1.75 iters/s
step 2701, batch loss 2.091, 1.74 iters/s
step 2702, batch loss 2.207, 1.74 iters/s
step 2703, batch loss 1.848, 1.74 iters/s
step 2704, batch loss 2.135, 1.74 iters/s
step 2705, batch loss 2.08, 1.74 iters/s
step 2706, batch loss 2.424, 1.74 iters/s
step 2707, batch loss 1.947, 1.74 iters/s
step 2708, batch loss 1.759, 1.74 iters/s
step 2709, batch loss 2.383, 1.74 iters/s
step 2710, batch loss 1.883, 1.74 iters/s
step 2711, batch loss 2.277, 1.74 iters/s
step 2712, batch loss 2.496, 1.75 iters/s
step 2713, batch loss 1.717, 1.75 iters/s
step 2714, batch loss 2.011, 1.74 iters/s
step 2715, batch loss 2.405, 1.74 iters/s
step 2716, batch loss 1.501, 1.74 iters/s
step 2717, batch loss 2.16, 1.74 iters/s
step 2718, batch loss 2.476, 1.75 iters/s
step 2719, batch loss 1.763, 1.75 iters/s
step 2720, batch loss 2.067, 1.74 iters/s
step 2721, batch loss 2.266, 1.74 iters/s
step 2722, batch loss 2.286, 1.74 iters/s
step 2723, batch loss 1.658, 1.74 iters/s
step 2724, batch loss 2.012, 1.75 iters/s
step 2725, batch loss 2.237, 1.74 iters/s
step 2726, batch loss 1.834, 1.74 iters/s
step 2727, batch loss 2.488, 1.74 iters/s
step 2728, batch loss 2.108, 1.75 iters/s
step 2729, batch loss 2.12, 1.74 iters/s
step 2730, batch loss 1.819, 1.74 iters/s
step 2731, batch loss 2.032, 1.75 iters/s
step 2732, batch loss 2.212, 1.74 iters/s
step 2733, batch loss 2.164, 1.74 iters/s
step 2734, batch loss 2.023, 1.75 iters/s
step 2735, batch loss 2.436, 1.74 iters/s
step 2736, batch loss 2.458, 1.75 iters/s
step 2737, batch loss 1.598, 1.74 iters/s
step 2738, batch loss 2.07, 1.75 iters/s
step 2739, batch loss 2.218, 1.75 iters/s
step 2740, batch loss 2.776, 1.74 iters/s
step 2741, batch loss 1.809, 1.75 iters/s
step 2742, batch loss 2.302, 1.74 iters/s
step 2743, batch loss 1.819, 1.75 iters/s
step 2744, batch loss 2.589, 1.74 iters/s
step 2745, batch loss 2.193, 1.74 iters/s
step 2746, batch loss 1.601, 1.74 iters/s
step 2747, batch loss 2.457, 1.74 iters/s
step 2748, batch loss 1.956, 1.74 iters/s
step 2749, batch loss 2.087, 1.74 iters/s
step 2750, batch loss 2.306, 1.74 iters/s
step 2751, batch loss 1.999, 1.74 iters/s
step 2752, batch loss 1.768, 1.74 iters/s
step 2753, batch loss 2.058, 1.75 iters/s
step 2754, batch loss 2.367, 1.74 iters/s
step 2755, batch loss 2.353, 1.74 iters/s
step 2756, batch loss 2.048, 1.75 iters/s
step 2757, batch loss 2.066, 1.75 iters/s
step 2758, batch loss 2.237, 1.74 iters/s
step 2759, batch loss 2.184, 1.74 iters/s
step 2760, batch loss 2.07, 1.74 iters/s
step 2761, batch loss 2.012, 1.74 iters/s
step 2762, batch loss 2.002, 1.74 iters/s
step 2763, batch loss 1.768, 1.74 iters/s
step 2764, batch loss 2.31, 1.75 iters/s
step 2765, batch loss 2.078, 1.74 iters/s
step 2766, batch loss 2.02, 1.74 iters/s
step 2767, batch loss 1.652, 1.74 iters/s
step 2768, batch loss 2.379, 1.74 iters/s
step 2769, batch loss 1.91, 1.74 iters/s
step 2770, batch loss 2.164, 1.74 iters/s
step 2771, batch loss 1.736, 1.74 iters/s
step 2772, batch loss 2.865, 1.74 iters/s
step 2773, batch loss 2.278, 1.74 iters/s
step 2774, batch loss 1.985, 1.74 iters/s
step 2775, batch loss 2.016, 1.74 iters/s
step 2776, batch loss 1.995, 1.74 iters/s
step 2777, batch loss 1.795, 1.74 iters/s
step 2778, batch loss 1.741, 1.75 iters/s
step 2779, batch loss 2.377, 1.74 iters/s
step 2780, batch loss 1.796, 1.74 iters/s
step 2781, batch loss 2.096, 1.74 iters/s
step 2782, batch loss 2.101, 1.74 iters/s
step 2783, batch loss 1.514, 1.74 iters/s
step 2784, batch loss 1.426, 1.74 iters/s
step 2785, batch loss 2.357, 1.74 iters/s
step 2786, batch loss 2.249, 1.74 iters/s
step 2787, batch loss 2.006, 1.74 iters/s
step 2788, batch loss 1.85, 1.74 iters/s
step 2789, batch loss 2.305, 1.74 iters/s
step 2790, batch loss 2.16, 1.74 iters/s
step 2791, batch loss 2.051, 1.75 iters/s
step 2792, batch loss 1.986, 1.74 iters/s
step 2793, batch loss 2.133, 1.74 iters/s
step 2794, batch loss 2.021, 1.74 iters/s
step 2795, batch loss 2.32, 1.75 iters/s
step 2796, batch loss 2.139, 1.75 iters/s
step 2797, batch loss 2.181, 1.74 iters/s
step 2798, batch loss 1.804, 1.74 iters/s
step 2799, batch loss 2.366, 1.74 iters/s
step 2800, batch loss 2.042, 1.75 iters/s
step 2801, batch loss 1.696, 1.74 iters/s
step 2802, batch loss 2.098, 1.74 iters/s
step 2803, batch loss 2.254, 1.75 iters/s
step 2804, batch loss 1.713, 1.74 iters/s
step 2805, batch loss 2.082, 1.74 iters/s
step 2806, batch loss 2.228, 1.74 iters/s
step 2807, batch loss 2.209, 1.74 iters/s
step 2808, batch loss 2.121, 1.74 iters/s
step 2809, batch loss 1.992, 1.74 iters/s
step 2810, batch loss 2.025, 1.75 iters/s
step 2811, batch loss 2.601, 1.75 iters/s
step 2812, batch loss 2.444, 1.74 iters/s
step 2813, batch loss 2.619, 1.74 iters/s
step 2814, batch loss 1.969, 1.74 iters/s
step 2815, batch loss 2.02, 1.74 iters/s
step 2816, batch loss 2.007, 1.74 iters/s
step 2817, batch loss 2.285, 1.75 iters/s
step 2818, batch loss 2.324, 1.75 iters/s
step 2819, batch loss 1.948, 1.74 iters/s
step 2820, batch loss 1.961, 1.75 iters/s
step 2821, batch loss 2.045, 1.75 iters/s
step 2822, batch loss 1.76, 1.74 iters/s
step 2823, batch loss 1.862, 1.74 iters/s
step 2824, batch loss 2.717, 1.74 iters/s
step 2825, batch loss 2.194, 1.74 iters/s
step 2826, batch loss 1.961, 1.75 iters/s
step 2827, batch loss 2.069, 1.75 iters/s
step 2828, batch loss 1.87, 1.74 iters/s
step 2829, batch loss 2.25, 1.74 iters/s
step 2830, batch loss 2.093, 1.75 iters/s
step 2831, batch loss 2.08, 1.74 iters/s
step 2832, batch loss 1.809, 1.74 iters/s
step 2833, batch loss 2.137, 1.74 iters/s
step 2834, batch loss 2.112, 1.74 iters/s
step 2835, batch loss 2.095, 1.74 iters/s
step 2836, batch loss 3.1, 1.74 iters/s
step 2837, batch loss 2.275, 1.74 iters/s
step 2838, batch loss 2.229, 1.74 iters/s
step 2839, batch loss 1.982, 1.75 iters/s
step 2840, batch loss 2.47, 1.74 iters/s
step 2841, batch loss 1.732, 1.74 iters/s
step 2842, batch loss 2.233, 1.74 iters/s
step 2843, batch loss 2.244, 1.74 iters/s
step 2844, batch loss 2.165, 1.74 iters/s
step 2845, batch loss 2.037, 1.74 iters/s
step 2846, batch loss 2.395, 1.74 iters/s
step 2847, batch loss 2.369, 1.74 iters/s
step 2848, batch loss 0.715, 1.74 iters/s
step 2849, batch loss 1.906, 1.75 iters/s
step 2850, batch loss 2.691, 1.74 iters/s
step 2851, batch loss 1.96, 1.74 iters/s
step 2852, batch loss 1.81, 1.74 iters/s
step 2853, batch loss 1.788, 1.74 iters/s
step 2854, batch loss 1.96, 1.74 iters/s
step 2855, batch loss 1.972, 1.74 iters/s
step 2856, batch loss 2.346, 1.74 iters/s
step 2857, batch loss 2.237, 1.75 iters/s
step 2858, batch loss 1.925, 1.75 iters/s
step 2859, batch loss 1.817, 1.75 iters/s
step 2860, batch loss 2.201, 1.75 iters/s
step 2861, batch loss 1.436, 1.74 iters/s
step 2862, batch loss 1.99, 1.75 iters/s
step 2863, batch loss 2.133, 1.74 iters/s
step 2864, batch loss 2.049, 1.74 iters/s
step 2865, batch loss 2.295, 1.74 iters/s
step 2866, batch loss 2.135, 1.74 iters/s
step 2867, batch loss 2.123, 1.74 iters/s
step 2868, batch loss 2.134, 1.74 iters/s
step 2869, batch loss 2.03, 1.74 iters/s
step 2870, batch loss 2.14, 1.74 iters/s
step 2871, batch loss 2.313, 1.74 iters/s
step 2872, batch loss 1.783, 1.74 iters/s
step 2873, batch loss 1.781, 1.74 iters/s
step 2874, batch loss 2.092, 1.75 iters/s
step 2875, batch loss 1.834, 1.74 iters/s
step 2876, batch loss 2.217, 1.74 iters/s
step 2877, batch loss 2.242, 1.75 iters/s
step 2878, batch loss 2.573, 1.74 iters/s
step 2879, batch loss 1.651, 1.74 iters/s
step 2880, batch loss 1.982, 1.74 iters/s
step 2881, batch loss 1.87, 1.74 iters/s
step 2882, batch loss 2.217, 1.74 iters/s
step 2883, batch loss 1.98, 1.74 iters/s
step 2884, batch loss 2.087, 1.75 iters/s
step 2885, batch loss 2.372, 1.74 iters/s
step 2886, batch loss 1.774, 1.74 iters/s
step 2887, batch loss 2.052, 1.74 iters/s
step 2888, batch loss 2.294, 1.74 iters/s
step 2889, batch loss 2.224, 1.74 iters/s
step 2890, batch loss 1.998, 1.74 iters/s
step 2891, batch loss 1.922, 1.74 iters/s
step 2892, batch loss 1.797, 1.74 iters/s
step 2893, batch loss 2.516, 1.74 iters/s
step 2894, batch loss 1.894, 1.74 iters/s
step 2895, batch loss 2.165, 1.74 iters/s
step 2896, batch loss 1.887, 1.74 iters/s
step 2897, batch loss 2.011, 1.74 iters/s
step 2898, batch loss 2.398, 1.74 iters/s
step 2899, batch loss 1.595, 1.74 iters/s
step 2900, batch loss 1.678, 1.75 iters/s
step 2901, batch loss 2.28, 1.74 iters/s
step 2902, batch loss 2.31, 1.75 iters/s
step 2903, batch loss 1.612, 1.75 iters/s
step 2904, batch loss 1.428, 1.74 iters/s
step 2905, batch loss 2.364, 1.74 iters/s
step 2906, batch loss 2.271, 1.74 iters/s
step 2907, batch loss 1.918, 1.75 iters/s
step 2908, batch loss 2.019, 1.75 iters/s
step 2909, batch loss 2.131, 1.74 iters/s
step 2910, batch loss 2.017, 1.74 iters/s
step 2911, batch loss 1.539, 1.74 iters/s
step 2912, batch loss 2.357, 1.75 iters/s
step 2913, batch loss 2.741, 1.75 iters/s
step 2914, batch loss 1.636, 1.74 iters/s
step 2915, batch loss 2.402, 1.74 iters/s
step 2916, batch loss 2.03, 1.74 iters/s
step 2917, batch loss 2.362, 1.74 iters/s
step 2918, batch loss 1.424, 1.75 iters/s
step 2919, batch loss 2.175, 1.75 iters/s
step 2920, batch loss 2.192, 1.74 iters/s
step 2921, batch loss 2.084, 1.75 iters/s
step 2922, batch loss 2.023, 1.74 iters/s
step 2923, batch loss 2.003, 1.74 iters/s
step 2924, batch loss 1.884, 1.74 iters/s
step 2925, batch loss 1.977, 1.74 iters/s
step 2926, batch loss 1.522, 1.74 iters/s
step 2927, batch loss 1.855, 1.74 iters/s
step 2928, batch loss 1.611, 1.75 iters/s
step 2929, batch loss 2.414, 1.74 iters/s
step 2930, batch loss 1.935, 1.75 iters/s
step 2931, batch loss 2.412, 1.75 iters/s
step 2932, batch loss 2.318, 1.74 iters/s
step 2933, batch loss 2.013, 1.74 iters/s
step 2934, batch loss 2.063, 1.74 iters/s
step 2935, batch loss 2.043, 1.74 iters/s
step 2936, batch loss 2.052, 1.74 iters/s
step 2937, batch loss 2.157, 1.74 iters/s
step 2938, batch loss 1.645, 1.74 iters/s
step 2939, batch loss 2.051, 1.74 iters/s
step 2940, batch loss 2.703, 1.74 iters/s
step 2941, batch loss 2.118, 1.75 iters/s
step 2942, batch loss 2.133, 1.74 iters/s
step 2943, batch loss 1.959, 1.75 iters/s
step 2944, batch loss 2.11, 1.73 iters/s
step 2945, batch loss 2.03, 1.74 iters/s
step 2946, batch loss 1.928, 1.74 iters/s
step 2947, batch loss 1.719, 1.74 iters/s
step 2948, batch loss 2.455, 1.74 iters/s
step 2949, batch loss 1.588, 1.74 iters/s
step 2950, batch loss 1.522, 1.74 iters/s
step 2951, batch loss 1.849, 1.74 iters/s
step 2952, batch loss 1.639, 1.74 iters/s
step 2953, batch loss 1.874, 1.75 iters/s
step 2954, batch loss 1.932, 1.75 iters/s
step 2955, batch loss 2.425, 1.75 iters/s
step 2956, batch loss 2.112, 1.74 iters/s
step 2957, batch loss 2.117, 1.74 iters/s
step 2958, batch loss 2.309, 1.74 iters/s
step 2959, batch loss 2.212, 1.74 iters/s
step 2960, batch loss 1.545, 1.75 iters/s
step 2961, batch loss 2.594, 1.74 iters/s
step 2962, batch loss 2.102, 1.74 iters/s
step 2963, batch loss 2.189, 1.74 iters/s
step 2964, batch loss 2.172, 1.74 iters/s
step 2965, batch loss 1.793, 1.75 iters/s
step 2966, batch loss 2.239, 1.74 iters/s
step 2967, batch loss 2.219, 1.74 iters/s
step 2968, batch loss 1.949, 1.74 iters/s
step 2969, batch loss 2.044, 1.74 iters/s
step 2970, batch loss 2.535, 1.74 iters/s
step 2971, batch loss 2.359, 1.75 iters/s
step 2972, batch loss 2.462, 1.74 iters/s
step 2973, batch loss 1.801, 1.75 iters/s
step 2974, batch loss 1.973, 1.75 iters/s
step 2975, batch loss 2.101, 1.74 iters/s
step 2976, batch loss 2.043, 1.74 iters/s
step 2977, batch loss 1.421, 1.75 iters/s
step 2978, batch loss 2.332, 1.74 iters/s
step 2979, batch loss 2.225, 1.75 iters/s
step 2980, batch loss 1.876, 1.75 iters/s
step 2981, batch loss 2.616, 1.74 iters/s
step 2982, batch loss 2.154, 1.75 iters/s
step 2983, batch loss 2.337, 1.74 iters/s
step 2984, batch loss 1.519, 1.74 iters/s
step 2985, batch loss 1.661, 1.74 iters/s
step 2986, batch loss 1.813, 1.74 iters/s
step 2987, batch loss 2.069, 1.75 iters/s
step 2988, batch loss 1.502, 1.75 iters/s
step 2989, batch loss 1.893, 1.75 iters/s
step 2990, batch loss 1.814, 1.74 iters/s
step 2991, batch loss 2.294, 1.74 iters/s
step 2992, batch loss 2.061, 1.74 iters/s
step 2993, batch loss 2.483, 1.74 iters/s
step 2994, batch loss 2.204, 1.74 iters/s
step 2995, batch loss 2.152, 1.74 iters/s
step 2996, batch loss 1.821, 1.74 iters/s
step 2997, batch loss 2.176, 1.74 iters/s
step 2998, batch loss 1.683, 1.74 iters/s
step 2999, batch loss 1.876, 1.74 iters/s
step 3000, batch loss 1.93, 1.74 iters/s
step 3001, batch loss 1.811, 1.74 iters/s
step 3002, batch loss 2.086, 1.74 iters/s
step 3003, batch loss 2.109, 1.74 iters/s
step 3004, batch loss 1.957, 1.74 iters/s
step 3005, batch loss 2.152, 1.74 iters/s
step 3006, batch loss 2.249, 1.75 iters/s
step 3007, batch loss 2.383, 1.74 iters/s
step 3008, batch loss 2.178, 1.75 iters/s
step 3009, batch loss 1.615, 1.74 iters/s
step 3010, batch loss 2.341, 1.74 iters/s
step 3011, batch loss 1.08, 1.75 iters/s
step 3012, batch loss 2.117, 1.74 iters/s
step 3013, batch loss 1.949, 1.74 iters/s
step 3014, batch loss 2.21, 1.74 iters/s
step 3015, batch loss 2.064, 1.75 iters/s
step 3016, batch loss 1.776, 1.74 iters/s
step 3017, batch loss 2.17, 1.75 iters/s
step 3018, batch loss 2.317, 1.74 iters/s
step 3019, batch loss 1.855, 1.75 iters/s
step 3020, batch loss 1.878, 1.74 iters/s
step 3021, batch loss 1.944, 1.74 iters/s
step 3022, batch loss 1.912, 1.75 iters/s
step 3023, batch loss 2.433, 1.75 iters/s
step 3024, batch loss 1.997, 1.74 iters/s
step 3025, batch loss 1.569, 1.74 iters/s
step 3026, batch loss 2.511, 1.74 iters/s
step 3027, batch loss 2.183, 1.74 iters/s
step 3028, batch loss 2.217, 1.74 iters/s
step 3029, batch loss 2.194, 1.74 iters/s
step 3030, batch loss 2.019, 1.74 iters/s
step 3031, batch loss 2.118, 1.74 iters/s
step 3032, batch loss 1.72, 1.74 iters/s
step 3033, batch loss 2.233, 1.74 iters/s
step 3034, batch loss 2.562, 1.74 iters/s
step 3035, batch loss 1.63, 1.75 iters/s
step 3036, batch loss 1.993, 1.74 iters/s
step 3037, batch loss 2.485, 1.74 iters/s
step 3038, batch loss 2.348, 1.75 iters/s
step 3039, batch loss 2.022, 1.74 iters/s
step 3040, batch loss 1.956, 1.74 iters/s
step 3041, batch loss 2.216, 1.74 iters/s
step 3042, batch loss 1.966, 1.74 iters/s
step 3043, batch loss 1.899, 1.74 iters/s
step 3044, batch loss 1.847, 1.74 iters/s
step 3045, batch loss 2.233, 1.74 iters/s
step 3046, batch loss 1.729, 1.74 iters/s
step 3047, batch loss 2.03, 1.74 iters/s
step 3048, batch loss 2.219, 1.74 iters/s
step 3049, batch loss 2.051, 1.74 iters/s
step 3050, batch loss 2.123, 1.75 iters/s
step 3051, batch loss 2.42, 1.75 iters/s
step 3052, batch loss 2.041, 1.75 iters/s
step 3053, batch loss 2.074, 1.74 iters/s
step 3054, batch loss 1.814, 1.74 iters/s
step 3055, batch loss 2.488, 1.74 iters/s
step 3056, batch loss 2.242, 1.74 iters/s
step 3057, batch loss 1.959, 1.74 iters/s
step 3058, batch loss 1.266, 1.74 iters/s
step 3059, batch loss 1.294, 1.75 iters/s
step 3060, batch loss 2.075, 1.74 iters/s
step 3061, batch loss 2.083, 1.74 iters/s
step 3062, batch loss 1.928, 1.74 iters/s
step 3063, batch loss 1.986, 1.74 iters/s
step 3064, batch loss 1.982, 1.75 iters/s
step 3065, batch loss 1.992, 1.74 iters/s
step 3066, batch loss 2.42, 1.75 iters/s
step 3067, batch loss 2.493, 1.74 iters/s
step 3068, batch loss 1.893, 1.74 iters/s
step 3069, batch loss 2.052, 1.75 iters/s
step 3070, batch loss 2.002, 1.74 iters/s
step 3071, batch loss 2.258, 1.74 iters/s
step 3072, batch loss 2.071, 1.74 iters/s
step 3073, batch loss 2.039, 1.74 iters/s
step 3074, batch loss 2.297, 1.74 iters/s
step 3075, batch loss 1.99, 1.74 iters/s
step 3076, batch loss 2.342, 1.74 iters/s
step 3077, batch loss 1.899, 1.74 iters/s
step 3078, batch loss 2.726, 1.74 iters/s
step 3079, batch loss 1.505, 1.74 iters/s
step 3080, batch loss 1.981, 1.74 iters/s
step 3081, batch loss 2.006, 1.74 iters/s
step 3082, batch loss 2.632, 1.75 iters/s
step 3083, batch loss 2.123, 1.75 iters/s
step 3084, batch loss 2.209, 1.74 iters/s
step 3085, batch loss 2.314, 1.74 iters/s
step 3086, batch loss 1.749, 1.75 iters/s
step 3087, batch loss 1.868, 1.75 iters/s
step 3088, batch loss 2.243, 1.74 iters/s
step 3089, batch loss 2.174, 1.74 iters/s
step 3090, batch loss 2.167, 1.74 iters/s
step 3091, batch loss 2.171, 1.74 iters/s
step 3092, batch loss 1.172, 1.74 iters/s
step 3093, batch loss 2.092, 1.75 iters/s
step 3094, batch loss 0.882, 1.75 iters/s
step 3095, batch loss 1.95, 1.75 iters/s
step 3096, batch loss 2.001, 1.74 iters/s
step 3097, batch loss 1.811, 1.75 iters/s
step 3098, batch loss 2.499, 1.74 iters/s
step 3099, batch loss 2.244, 1.75 iters/s
step 3100, batch loss 1.877, 1.74 iters/s
step 3101, batch loss 1.973, 1.75 iters/s
step 3102, batch loss 2.126, 1.75 iters/s
step 3103, batch loss 1.935, 1.75 iters/s
step 3104, batch loss 2.07, 1.75 iters/s
step 3105, batch loss 1.678, 1.75 iters/s
step 3106, batch loss 1.713, 1.74 iters/s
step 3107, batch loss 2.34, 1.73 iters/s
step 3108, batch loss 2.151, 1.74 iters/s
step 3109, batch loss 1.879, 1.74 iters/s
step 3110, batch loss 1.924, 1.74 iters/s
step 3111, batch loss 2.058, 1.75 iters/s
step 3112, batch loss 2.181, 1.74 iters/s
step 3113, batch loss 2.463, 1.74 iters/s
step 3114, batch loss 1.716, 1.74 iters/s
step 3115, batch loss 2.343, 1.74 iters/s
step 3116, batch loss 1.967, 1.74 iters/s
step 3117, batch loss 1.876, 1.74 iters/s
step 3118, batch loss 2.068, 1.75 iters/s
step 3119, batch loss 2.131, 1.74 iters/s
step 3120, batch loss 1.752, 1.74 iters/s
step 3121, batch loss 2.305, 1.75 iters/s
step 3122, batch loss 2.03, 1.74 iters/s
step 3123, batch loss 2.417, 1.75 iters/s
step 3124, batch loss 1.69, 1.75 iters/s
step 3125, batch loss 1.825, 1.74 iters/s
step 3126, batch loss 2.034, 1.75 iters/s
step 3127, batch loss 2.02, 1.74 iters/s
step 3128, batch loss 1.649, 1.74 iters/s
step 3129, batch loss 2.713, 1.74 iters/s
step 3130, batch loss 1.85, 1.74 iters/s
step 3131, batch loss 1.993, 1.74 iters/s
step 3132, batch loss 2.074, 1.75 iters/s
step 3133, batch loss 2.392, 1.74 iters/s
step 3134, batch loss 1.876, 1.74 iters/s
step 3135, batch loss 2.153, 1.75 iters/s
step 3136, batch loss 2.022, 1.74 iters/s
step 3137, batch loss 1.488, 1.75 iters/s
step 3138, batch loss 2.18, 1.75 iters/s
step 3139, batch loss 1.948, 1.74 iters/s
step 3140, batch loss 2.064, 1.74 iters/s
step 3141, batch loss 2.111, 1.74 iters/s
step 3142, batch loss 2.021, 1.74 iters/s
step 3143, batch loss 2.354, 1.74 iters/s
step 3144, batch loss 1.793, 1.74 iters/s
step 3145, batch loss 2.596, 1.74 iters/s
step 3146, batch loss 3.484, 1.74 iters/s
step 3147, batch loss 2.315, 1.75 iters/s
step 3148, batch loss 1.919, 1.74 iters/s
step 3149, batch loss 1.595, 1.74 iters/s
step 3150, batch loss 1.891, 1.74 iters/s
step 3151, batch loss 1.954, 1.74 iters/s
step 3152, batch loss 2.235, 1.74 iters/s
step 3153, batch loss 2.368, 1.74 iters/s
step 3154, batch loss 1.557, 1.74 iters/s
step 3155, batch loss 2.073, 1.74 iters/s
step 3156, batch loss 2.292, 1.74 iters/s
step 3157, batch loss 2.23, 1.74 iters/s
step 3158, batch loss 2.467, 1.74 iters/s
step 3159, batch loss 2.143, 1.74 iters/s
step 3160, batch loss 2.288, 1.74 iters/s
step 3161, batch loss 2.165, 1.74 iters/s
step 3162, batch loss 2.113, 1.74 iters/s
step 3163, batch loss 2.051, 1.74 iters/s
step 3164, batch loss 2.155, 1.75 iters/s
step 3165, batch loss 3.033, 1.74 iters/s
step 3166, batch loss 2.142, 1.74 iters/s
step 3167, batch loss 2.035, 1.75 iters/s
step 3168, batch loss 2.117, 1.74 iters/s
step 3169, batch loss 2.176, 1.74 iters/s
step 3170, batch loss 2.131, 1.75 iters/s
step 3171, batch loss 2.351, 1.75 iters/s
step 3172, batch loss 2.286, 1.74 iters/s
step 3173, batch loss 2.245, 1.75 iters/s
step 3174, batch loss 2.186, 1.75 iters/s
step 3175, batch loss 2.449, 1.75 iters/s
step 3176, batch loss 1.864, 1.74 iters/s
step 3177, batch loss 1.671, 1.74 iters/s
step 3178, batch loss 2.306, 1.74 iters/s
step 3179, batch loss 2.17, 1.74 iters/s
step 3180, batch loss 2.322, 1.74 iters/s
step 3181, batch loss 2.188, 1.74 iters/s
step 3182, batch loss 1.802, 1.75 iters/s
step 3183, batch loss 1.658, 1.74 iters/s
step 3184, batch loss 2.675, 1.74 iters/s
step 3185, batch loss 2.186, 1.74 iters/s
step 3186, batch loss 1.961, 1.74 iters/s
step 3187, batch loss 2.065, 1.74 iters/s
step 3188, batch loss 2.352, 1.74 iters/s
step 3189, batch loss 2.459, 1.74 iters/s
step 3190, batch loss 2.387, 1.74 iters/s
step 3191, batch loss 2.586, 1.74 iters/s
step 3192, batch loss 2.231, 1.74 iters/s
step 3193, batch loss 0.833, 1.74 iters/s
step 3194, batch loss 1.849, 1.74 iters/s
step 3195, batch loss 1.9, 1.74 iters/s
step 3196, batch loss 2.218, 1.74 iters/s
step 3197, batch loss 1.916, 1.75 iters/s
step 3198, batch loss 1.667, 1.75 iters/s
step 3199, batch loss 2.065, 1.74 iters/s
